2019050361965,3001,5
2019050361965,5004,5
2019050361965,2003,5
2019050361965,2005,5
2019050361965,1006,5
2019050361965,2002,5
2019050361965,1002,3
2019050361965,1006,5
2019050651732,1001,5
2019050651732,1005,3
2019050651732,1004,4
2019050669851,1001,4
2019050669851,1002,3
2019050669851,1003,1
2019050669851,1004,5
2019050651732,1003,4
2019050651732,1004,3
2019050651732,1003,2
2019050651732,1005,1
2019050676811,1003,4
2019050676811,1001,5
2019050676811,1001,4
2019052106503,1001,3
2019052106503,1002,3
2019052106503,2003,4
2019052106503,1004,2
2019052106503,1005,4
2019052106503,1006,5
2019052106564,1001,1
2019052106564,2002,4
2019050651732,2004,4
2019052106564,1003,2
2019052106564,1004,4
2019052106564,1005,4
2019052106564,1006,2
2019050619444,1001,5
2019050619444,1002,2
2019050619444,1003,3
2019050619444,1004,3
2019050619444,1005,3
2019050619444,1006,4
2019050619444,2001,5
2019050619444,2002,1
2019050619444,2003,2
2019050612086,1001,2
2019050612086,1003,2
2019050612086,1002,3
2019050612086,1004,1
2019050612086,1005,1
